Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
The Lord of the Rings: The Return of the King,PS2,2003.0,Action,3.28,85.0,8.7,T,3
Gears of War: Ultimate Edition,XOne,2015.0,Shooter,3.28,82.0,7.5,M,1
True Crime: Streets of LA,PS2,2003.0,Action,3.27,77.0,8.0,M,3
Professor Layton and the Unwound Future,DS,2008.0,Puzzle,3.26,86.0,9.2,E10+,0
FIFA 16,XOne,2015.0,Sports,3.25,84.0,4.4,E,1
Wii Music,Wii,2008.0,Misc,3.25,63.0,4.6,E,2
Madden NFL 16,PS4,2015.0,Sports,3.24,83.0,5.9,E,1
Gran Turismo 6,PS3,2013.0,Racing,3.23,81.0,7.7,E,1
Halo: The Master Chief Collection,XOne,2014.0,Shooter,3.23,85.0,7.2,M,1
Super Mario Maker,WiiU,2015.0,Platform,3.21,88.0,8.7,E,1
God of War: Chains of Olympus,PSP,2008.0,Action,3.18,91.0,8.6,M,3
Enter the Matrix,PS2,2003.0,Action,3.18,62.0,8.1,T,3
Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,3.18,83.0,8.0,T,1
Dance Central,X360,2010.0,Misc,3.17,82.0,7.6,T,3
L.A. Noire,PS3,2011.0,Adventure,3.17,89.0,7.7,M,3
Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,3.17,89.0,9.1,E,0
Animal Crossing,GC,2001.0,Simulation,3.15,87.0,8.9,E,0
FIFA Soccer 08,PS2,2007.0,Sports,3.14,83.0,6.5,E,1
Spider-Man,PS,2000.0,Action,3.13,87.0,9.0,E,0
Mario Party 9,Wii,2012.0,Misc,3.13,73.0,6.8,E,1
Sonic Rush,DS,2005.0,Platform,3.12,82.0,8.5,E,0
Rhythm Heaven,DS,2008.0,Misc,3.11,83.0,9.0,E,0
Fallout: New Vegas,PS3,2010.0,Role-Playing,3.11,82.0,7.8,M,1
Personal Trainer: Cooking,DS,2006.0,Misc,3.11,81.0,7.8,E,0
The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,3.1,93.0,8.0,M,1
The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,3.1,91.0,8.9,E,0
Resident Evil 6,PS3,2012.0,Shooter,3.1,74.0,5.4,M,1
Mass Effect 2,X360,2010.0,Role-Playing,3.1,96.0,8.9,M,1
Dragon Ball Z: Budokai,PS2,2002.0,Fighting,3.09,67.0,7.9,T,3
Madden NFL 2002,PS2,2001.0,Sports,3.08,94.0,7.9,E,0
The Sims: Vacation,PC,2002.0,Simulation,3.07,75.0,7.8,T,0
Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,3.05,66.0,6.9,E,0
The Sims 4,PC,2014.0,Simulation,3.05,70.0,3.9,T,2
Borderlands 2,X360,2012.0,Shooter,3.05,89.0,8.2,M,1
LEGO Batman: The Videogame,DS,2008.0,Action,3.05,72.0,8.0,E10+,0
Kung Fu Panda,X360,2008.0,Action,3.04,75.0,7.4,E10+,3
Mass Effect 3,X360,2012.0,Role-Playing,3.04,93.0,5.8,M,1
Heavy Rain,PS3,2010.0,Adventure,3.03,87.0,7.7,M,3
Saints Row 2,X360,2008.0,Action,3.03,81.0,8.1,M,3
Tom Clancy's Splinter Cell,XB,2002.0,Action,3.02,93.0,8.5,T,3
FIFA 14,PS4,2013.0,Sports,3.01,87.0,6.3,E,1
Killzone 2,PS3,2009.0,Shooter,3.01,91.0,8.1,M,1
Far Cry 3,X360,2012.0,Shooter,3.0,91.0,8.6,M,1
Epic Mickey,Wii,2010.0,Platform,3.0,73.0,7.0,E,1
NBA 2K13,X360,2012.0,Sports,3.0,88.0,7.2,E,1
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007.0,Fighting,3.0,73.0,9.2,T,3
The Sims: Livin Large,PC,2000.0,Misc,2.99,82.0,6.6,T,0
World Soccer Winning Eleven 6 International,PS2,2002.0,Sports,2.99,93.0,9.1,E,0
